"database","table","column","type","default_kind","default_expression"
"business","asset_impersonation_security_log_local","devUId","Int32","",""
"business","asset_impersonation_security_log_local","deviceId","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","deviceIp","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","dstIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(newIp))"
"business","asset_impersonation_security_log_local","dstIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(newIp))"
"business","asset_impersonation_security_log_local","extensions","Nullable(String)","",""
"business","asset_impersonation_security_log_local","insertTimestamp","Int64","",""
"business","asset_impersonation_security_log_local","logSampled","Nullable(Int32)","",""
"business","asset_impersonation_security_log_local","logTraceInfo","Nullable(String)","",""
"business","asset_impersonation_security_log_local","manage","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","manageIp","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","newAssetId","Nullable(String)","",""
"business","asset_impersonation_security_log_local","newCity","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","newCountry","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","newHostname","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","newIp","String","",""
"business","asset_impersonation_security_log_local","newMac","String","",""
"business","asset_impersonation_security_log_local","newProvince","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","newSubType","Nullable(Int32)","",""
"business","asset_impersonation_security_log_local","newType","Nullable(Int32)","",""
"business","asset_impersonation_security_log_local","newVendorCrc","Int64","",""
"business","asset_impersonation_security_log_local","orgAssetId","Nullable(String)","",""
"business","asset_impersonation_security_log_local","orgCity","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","orgCountry","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","orgHostname","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","orgIp","String","",""
"business","asset_impersonation_security_log_local","orgMac","String","",""
"business","asset_impersonation_security_log_local","orgProvince","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","orgSubType","Nullable(Int32)","",""
"business","asset_impersonation_security_log_local","orgType","Nullable(Int32)","",""
"business","asset_impersonation_security_log_local","orgVendorCrc","Int64","",""
"business","asset_impersonation_security_log_local","originProductTy","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","originProductVe","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","productType","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","productVer","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","recordTimestamp","Int64","",""
"business","asset_impersonation_security_log_local","riskLevel","Int32","",""
"business","asset_impersonation_security_log_local","severity","Int32","",""
"business","asset_impersonation_security_log_local","srcIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(orgIp))"
"business","asset_impersonation_security_log_local","srcIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(orgIp))"
"business","asset_impersonation_security_log_local","tenant","LowCardinality(String)","",""
"business","asset_impersonation_security_log_local","threatClass","Int32","",""
"business","asset_impersonation_security_log_local","threatSubType","Int32","",""
"business","asset_impersonation_security_log_local","threatType","Int32","",""
"business","asset_impersonation_security_log_local","uploadTimestamp","Int64","",""
"business","asset_impersonation_security_log_local","uuId","String","",""
"business","asset_impersonation_security_log_local","v","Int32","",""
"business","asset_impersonation_security_log_local","vendor","LowCardinality(String)","",""
"business","asset_infer","collName","String","",""
"business","asset_infer","count","Int64","",""
"business","asset_infer","createTime","Int64","",""
"business","asset_infer","dstAssetId","Nullable(String)","",""
"business","asset_infer","dstIp","Nullable(String)","",""
"business","asset_infer","dstPortMap","Map(Int32, UInt64)","",""
"business","asset_infer","maxRecordTimestamp","Int64","",""
"business","asset_infer","result","Nullable(String)","",""
"business","asset_infer","srcAssetId","Nullable(String)","",""
"business","asset_infer","srcIp","Nullable(String)","",""
"business","asset_infer","type","Array(String)","",""
"business","asset_infer","url","Nullable(String)","",""
"business","asset_infer","username","Nullable(String)","",""
"business","asset_infer_local","collName","String","",""
"business","asset_infer_local","count","Int64","",""
"business","asset_infer_local","createTime","Int64","",""
"business","asset_infer_local","dstAssetId","Nullable(String)","",""
"business","asset_infer_local","dstIp","Nullable(String)","",""
"business","asset_infer_local","dstPortMap","Map(Int32, UInt64)","",""
"business","asset_infer_local","maxRecordTimestamp","Int64","",""
"business","asset_infer_local","result","Nullable(String)","",""
"business","asset_infer_local","srcAssetId","Nullable(String)","",""
"business","asset_infer_local","srcIp","Nullable(String)","",""
"business","asset_infer_local","type","Array(String)","",""
"business","asset_infer_local","url","Nullable(String)","",""
"business","asset_infer_local","username","Nullable(String)","",""
"business","asset_log","data","String","",""
"business","asset_log","insertTime","DateTime","DEFAULT","now()"
"business","asset_log","rowLogAlias","String","ALIAS","''"
"business","asset_log","tenant","LowCardinality(String)","",""
"business","asset_log","uuId","String","",""
"business","asset_log_local","data","String","",""
"business","asset_log_local","insertTime","DateTime","DEFAULT","now()"
"business","asset_log_local","rowLogAlias","String","ALIAS","''"
"business","asset_log_local","tenant","LowCardinality(String)","",""
"business","asset_log_local","uuId","String","",""
"business","das_log","accountId","Nullable(String)","",""
"business","das_log","accountName","Nullable(String)","",""
"business","das_log","affectRows","Nullable(Int32)","",""
"business","das_log","cloudTs","Nullable(Int64)","",""
"business","das_log","dbName","Nullable(String)","",""
"business","das_log","dbType","Nullable(String)","",""
"business","das_log","devUId","Nullable(Int32)","",""
"business","das_log","deviceId","LowCardinality(String)","",""
"business","das_log","deviceIp","LowCardinality(String)","",""
"business","das_log","dstIp","String","",""
"business","das_log","dstIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(dstIp))"
"business","das_log","dstIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(dstIp))"
"business","das_log","dstMac","String","",""
"business","das_log","dstPort","Int32","",""
"business","das_log","extensions","Nullable(String)","",""
"business","das_log","insertTimestamp","Int64","",""
"business","das_log","l7Protocol","Nullable(String)","",""
"business","das_log","logSampled","Nullable(Int32)","",""
"business","das_log","logTraceInfo","Nullable(String)","",""
"business","das_log","manage","LowCardinality(String)","",""
"business","das_log","manageIp","LowCardinality(String)","",""
"business","das_log","oprCmd","Nullable(String)","",""
"business","das_log","oprType","Nullable(String)","",""
"business","das_log","originProductType","LowCardinality(String)","",""
"business","das_log","originProductVer","LowCardinality(String)","",""
"business","das_log","productType","LowCardinality(String)","",""
"business","das_log","productVer","LowCardinality(String)","",""
"business","das_log","rawMsg","Nullable(String)","",""
"business","das_log","recordTimestamp","Int64","",""
"business","das_log","reqDataClassifications","Array(String)","DEFAULT","[]"
"business","das_log","reqDataCounts","Array(Int32)","DEFAULT","[]"
"business","das_log","reqDataGrade","Nullable(Int32)","",""
"business","das_log","reqDataLabelIds","Array(String)","DEFAULT","[]"
"business","das_log","respDataClassifications","Array(String)","DEFAULT","[]"
"business","das_log","respDataCounts","Array(Int32)","DEFAULT","[]"
"business","das_log","respDataGrade","Nullable(Int32)","",""
"business","das_log","respDataLabelIds","Array(String)","DEFAULT","[]"
"business","das_log","srcIp","String","",""
"business","das_log","srcIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(srcIp))"
"business","das_log","srcIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(srcIp))"
"business","das_log","srcMac","String","",""
"business","das_log","srcPort","Int32","",""
"business","das_log","success","Nullable(Int32)","",""
"business","das_log","tenant","LowCardinality(String)","",""
"business","das_log","uploadTimestamp","Int64","",""
"business","das_log","uuId","String","",""
"business","das_log","v","Int32","",""
"business","das_log","vendor","LowCardinality(String)","",""
"business","das_log_local","accountId","Nullable(String)","",""
"business","das_log_local","accountName","Nullable(String)","",""
"business","das_log_local","affectRows","Nullable(Int32)","",""
"business","das_log_local","cloudTs","Nullable(Int64)","",""
"business","das_log_local","dbName","Nullable(String)","",""
"business","das_log_local","dbType","Nullable(String)","",""
"business","das_log_local","devUId","Nullable(Int32)","",""
"business","das_log_local","deviceId","LowCardinality(String)","",""
"business","das_log_local","deviceIp","LowCardinality(String)","",""
"business","das_log_local","dstIp","String","",""
"business","das_log_local","dstIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(dstIp))"
"business","das_log_local","dstIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(dstIp))"
"business","das_log_local","dstMac","String","",""
"business","das_log_local","dstPort","Int32","",""
"business","das_log_local","extensions","Nullable(String)","",""
"business","das_log_local","insertTimestamp","Int64","",""
"business","das_log_local","l7Protocol","Nullable(String)","",""
"business","das_log_local","logSampled","Nullable(Int32)","",""
"business","das_log_local","logTraceInfo","Nullable(String)","",""
"business","das_log_local","manage","LowCardinality(String)","",""
"business","das_log_local","manageIp","LowCardinality(String)","",""
"business","das_log_local","oprCmd","Nullable(String)","",""
"business","das_log_local","oprType","Nullable(String)","",""
"business","das_log_local","originProductType","LowCardinality(String)","",""
"business","das_log_local","originProductVer","LowCardinality(String)","",""
"business","das_log_local","productType","LowCardinality(String)","",""
"business","das_log_local","productVer","LowCardinality(String)","",""
"business","das_log_local","rawMsg","Nullable(String)","",""
"business","das_log_local","recordTimestamp","Int64","",""
"business","das_log_local","reqDataClassifications","Array(String)","DEFAULT","[]"
"business","das_log_local","reqDataCounts","Array(Int32)","DEFAULT","[]"
"business","das_log_local","reqDataGrade","Nullable(Int32)","",""
"business","das_log_local","reqDataLabelIds","Array(String)","DEFAULT","[]"
"business","das_log_local","respDataClassifications","Array(String)","DEFAULT","[]"
"business","das_log_local","respDataCounts","Array(Int32)","DEFAULT","[]"
"business","das_log_local","respDataGrade","Nullable(Int32)","",""
"business","das_log_local","respDataLabelIds","Array(String)","DEFAULT","[]"
"business","das_log_local","srcIp","String","",""
"business","das_log_local","srcIp_v4","IPv4","DEFAULT","toIPv4OrDefault(assumeNotNull(srcIp))"
"business","das_log_local","srcIp_v6","IPv6","DEFAULT","toIPv6OrDefault(assumeNotNull(srcIp))"
"business","das_log_local","srcMac","String","",""
"business","das_log_local","srcPort","Int32","",""
"business","das_log_local","success","Nullable(Int32)","",""
"business","das_log_local","tenant","LowCardinality(String)","",""
"business","das_log_local","uploadTimestamp","Int64","",""
"business","das_log_local","uuId","String","",""
"business","das_log_local","v","Int32","",""
"business","das_log_local","vendor","LowCardinality(String)","",""
"business","datalake_platform_log","cloudReceiveTimestamp","Int64","",""
"business","datalake_platform_log","data","Nullable(String)","",""
"business","datalake_platform_log","deviceId","String","",""
"business","datalake_platform_log","ext","String","",""
"business","datalake_platform_log","insertTime","DateTime","DEFAULT","now()"
"business","datalake_platform_log","insertTimestamp","Int64","",""
"business","datalake_platform_log","platformIp","String","",""
"business","datalake_platform_log","platformVersion","String","",""
"business","datalake_platform_log","productType","LowCardinality(String)","",""
"business","datalake_platform_log","ruleVersion","String","",""
"business","datalake_platform_log","sn","String","",""
"business","datalake_platform_log","source","LowCardinality(String)","",""
"business","datalake_platform_log","tenant","String","",""
"business","datalake_platform_log","type","LowCardinality(String)","",""
"business","datalake_platform_log","uploadTimestamp","Int64","",""
"business","datalake_platform_log","uuId","String","",""
"business","datalake_platform_log_local","cloudReceiveTimestamp","Int64","",""
"business","datalake_platform_log_local","data","Nullable(String)","",""
"business","datalake_platform_log_local","deviceId","String","",""
"business","datalake_platform_log_local","ext","String","",""
"business","datalake_platform_log_local","insertTime","DateTime","DEFAULT","now()"
"business","datalake_platform_log_local","insertTimestamp","Int64","",""
"business","datalake_platform_log_local","platformIp","String","",""
"business","datalake_platform_log_local","platformVersion","String","",""
"business","datalake_platform_log_local","productType","LowCardinality(String)","",""
"business","datalake_platform_log_local","ruleVersion","String","",""
"business","datalake_platform_log_local","sn","String","",""
"business","datalake_platform_log_local","source","LowCardinality(String)","",""
"business","datalake_platform_log_local","tenant","String","",""
"business","datalake_platform_log_local","type","LowCardinality(String)","",""
"business","datalake_platform_log_local","uploadTimestamp","Int64","",""
"business","datalake_platform_log_local","uuId","String","",""
"business","datalake_report_log","cloudReceiveTimestamp","Int64","",""
"business","datalake_report_log","deviceId","String","",""
"business","datalake_report_log","errorDetail","String","",""
"business","datalake_report_log","ext","String","",""
"business","datalake_report_log","failedLog","Int32","",""
"business","datalake_report_log","insertTime","DateTime","DEFAULT","now()"
"business","datalake_report_log","insertTimestamp","Int64","",""
"business","datalake_report_log","logDetail","String","",""
"business","datalake_report_log","productType","LowCardinality(String)","",""
"business","datalake_report_log","source","LowCardinality(String)","",""
"business","datalake_report_log","successLog","Int32","",""
"business","datalake_report_log","tenant","String","",""
"business","datalake_report_log","totalLog","Int32","",""
"business","datalake_report_log","type","LowCardinality(String)","",""
"business","datalake_report_log","uploadTimestamp","Int64","",""
"business","datalake_report_log","uuId","String","",""
"business","datalake_report_log_local","cloudReceiveTimestamp","Int64","",""
"business","datalake_report_log_local","deviceId","String","",""
"business","datalake_report_log_local","errorDetail","String","",""
"business","datalake_report_log_local","ext","String","",""
"business","datalake_report_log_local","failedLog","Int32","",""
"business","datalake_report_log_local","insertTime","DateTime","DEFAULT","now()"
"business","datalake_report_log_local","insertTimestamp","Int64","",""
"business","datalake_report_log_local","logDetail","String","",""
"business","datalake_report_log_local","productType","LowCardinality(String)","",""
"business","datalake_report_log_local","source","LowCardinality(String)","",""
"business","datalake_report_log_local","successLog","Int32","",""
"business","datalake_report_log_local","tenant","String","",""
"business","datalake_report_log_local","totalLog","Int32","",""
"business","datalake_report_log_local","type","LowCardinality(String)","",""
"business","datalake_report_log_local","uploadTimestamp","Int64","",""
"business","datalake_report_log_local","uuId","String","",""
"business","db2_log","_invert_text","String","DEFAULT","''"
"business","db2_log","arg","String","",""
"business","db2_log","cloudTs","Nullable(Int64)","",""
"business","db2_log","cmd","String","",""
"business","db2_log","customer","LowCardinality(String)","",""
"business","db2_log","devUId","Nullable(Int32)","",""
"business","db2_log","deviceId","LowCardinality(String)","",""
"business","db2_log","deviceIp","LowCardinality(String)","",""
"business","db2_log","dstAssetId","Nullable(String)","",""
