"user_group","table_name","query_count","matched_query_count","ratio_7d","ratio_15d","ratio_30d","ratio_60d","ratio_90d","p50_days","p80_days","p90_days","p95_days","p99_days"
"__NON_HUMAN__","ztna_access_log",85,27,0.31,0.31,0.31,0.31,0.31,0,1,1,1,1
"__NON_HUMAN__","ztna_user_log",55,27,0.49,0.49,0.49,0.49,0.49,0,1,1,1,1
"user_xdr_log_search_readonly","oracle_log",29,29,0.62,0.96,0.96,0.96,1,1,9,9,9,61.52
"user_xdr_log_search_readonly","pop3_login_log",29,29,0.62,0.96,0.96,0.96,1,1,9,9,9,61.52
"__NON_HUMAN__","file_log",28,0,0,0,0,0,0,0,0,0,0,0
"__NON_HUMAN__","ztna_user_security_log",28,0,0,0,0,0,0,0,0,0,0,0
"__NON_HUMAN__","dynamic_graph_log",28,0,0,0,0,0,0,0,0,0,0,0
"user_xdr_log_search_readonly","sql_server_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","db2_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","redis_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","ftp_login_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","ztna_user_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","icmp_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","operation_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","rdp_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","smtp_login_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","imap_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","mongo_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","dce_rpc_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","mysql_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","tcp_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","ztna_access_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","vsphere_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","smb_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","pgsql_login_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","pgsql_cmd_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","smtp_log",14,14,1,1,1,1,1,1,1,1,1,1
"user_xdr_log_search_readonly","ssh_log",14,14,1,1,1,1,1,1,1,1,1,1
